,School Number,Cluster,County,School
814,7073,4,MONTGOMERY,HEREFORD EL SCH
1529,7587,4,PHILADELPHIA,PHILADELPHIA ACAD CS
403,1006,4,BUCKS,CORNWELLS EL SCH
402,6773,4,BERKS,CORNWALL TERRACE EL SCH
1535,1555,4,CLEARFIELD,PHILIPSBURG EL SCH
397,7707,4,MONTGOMERY,COPPER BEECH EL SCH
1539,1425,4,CHESTER,PHOENIXVILLE MS
1541,761,4,BERKS,PINE FORGE EL SCH
1643,1949,4,DELAWARE,RICHARDSON MS
389,7284,4,BERKS,CONRAD WEISER EAST ELEM
1548,8106,4,ALLEGHENY,PITTSBURGH CAPA 6-12
382,6133,4,CRAWFORD,CONNEAUT VALLEY EL SCH
381,6132,4,CRAWFORD,CONNEAUT LAKE-SADSBU
379,7822,4,ADAMS,CONEWAGO VALLEY INTRMD SCH
1554,351,4,ALLEGHENY,PITTSBURGH MONTESSORI
378,6268,4,ADAMS,CONEWAGO TWP EL SCH
377,4572,4,YORK,CONEWAGO EL SCH
1557,8107,4,ALLEGHENY,PITTSBURGH SCIENCE & TECH ACAD
376,2531,4,LANCASTER,CONESTOGA VALLEY MS
1561,3511,4,NORTHAMPTON,PLAINFIELD EL SCH
1562,6229,4,CENTRE,PLEASANT GAP EL SCH
1563,4867,4,ALLEGHENY,PLEASANT HILLS MS
1547,314,4,ALLEGHENY,PINE-RICHLAND MS
412,6595,4,VENANGO,CRANBERRY EL SCH
1644,1087,4,BUCKS,RICHBORO EL SCH
332,1479,4,CLARION,CLARION-LIMESTONE EL
293,7258,4,WASHINGTON,CHARLEROI AREA EL CT
1715,2648,4,LANCASTER,SALISBURY ELEMENTARY
1719,5060,4,LYCOMING,SALLADASBURG EL SCH
1720,2352,4,INDIANA,SALTSBURG EL SCH
1722,4943,4,MONTGOMERY,SANDY RUN MS
1725,6388,4,LUZERNE,SARA J DYMOND EL SCH
1727,3485,4,NORTHAMPTON,SAUCON VALLEY EL SCH
1728,7210,4,NORTHAMPTON,SAUCON VALLEY MS
286,1347,4,CENTRE,CENTRE HALL-POTTER EL SCH
1734,2825,4,LEHIGH,SCHNECKSVILLE SCH
1735,7568,4,BUCKS,SCHOOL LANE CS
281,4681,4,BUCKS,CENTRAL MIDDLE SCHOOL
1740,7331,4,SCHUYLKILL,SCHUYLKILL HAVEN EL CTR
1742,7429,4,BERKS,SCHUYLKILL VALLEY EL
1743,6888,4,BERKS,SCHUYLKILL VALLEY MI
1744,7766,4,MONTGOMERY,SCHWENKSVILLE ELEM SCHOOL
1745,2209,4,FRANKLIN,SCOTLAND EL SCH
1748,6932,4,WESTMORELAND,SCOTTDALE EL SCH
1751,7507,4,SNYDER,SELINSGROVE INTRMD SCH
1752,1098,4,BUCKS,SELLERSVILLE SCHOOL
1753,5311,4,BUTLER,SENECA VALLEY MS
276,5390,4,COLUMBIA,CENTRAL COLUMBIA MS
274,1202,4,CAMBRIA,CENTRAL CAMBRIA MS
273,5055,4,LANCASTER,CENTERVILLE MS
1760,8056,4,NORTHAMPTON,SHAFER EL SCH
1713,1597,4,COLUMBIA,SALEM EL SCH
1711,6136,4,CRAWFORD,SAEGERTOWN HS
297,7308,4,BUCKS,CHARLES H BOEHM MS
1704,4060,4,TIOGA,RUSSELL B WALTER EL
1647,1278,4,CAMBRIA,RICHLAND ELEM SCH
331,1480,4,CLARION,CLARION-LIMESTONE AR
1652,6805,4,ELK,RIDGWAY AREA MS
1655,4268,4,WASHINGTON,RINGGOLD EL SCH N
329,5217,4,CLARION,CLARION AREA EL SCH
328,528,4,ALLEGHENY,CLARA BARTON EL SCH
1662,8188,4,BEAVER,RIVERSIDE MS
324,1088,4,BUCKS,CHURCHVILLE EL SCH
321,6683,4,MONROE,CHIPPERFIELD EL SCH
1672,751,4,BEDFORD,ROBERTSDALE GR SCH
1674,2036,4,ERIE,ROBISON EL SCH
1679,6209,4,SOMERSET,ROCKWOOD AREA EL SCH
1645,6454,4,BUCKS,RICHBORO MIDDLE SCHOOL
313,4724,4,ERIE,CHESTNUT HILL EL SCH
1687,7719,4,LYCOMING,ROMMELT EL SCH
311,6392,4,LUZERNE,CHESTER STREET EL SCH
1691,6396,4,WYOMING,ROSLUND EL SCH
1692,3234,4,MONTGOMERY,ROSLYN SCH
1693,2920,4,LUZERNE,ROSS EL SCH
1694,1738,4,YORK,ROSSMOYNE EL SCH
1695,4325,4,WESTMORELAND,ROSTRAVER EL SCH
1696,4539,4,YORK,ROUNDTOWN EL SCH
307,3250,4,MONTGOMERY,CHELTENHAM EL SCH
303,7415,4,ALLEGHENY,CHARTIERS VALLEY INT
1701,3364,4,MONTGOMERY,ROYERSFORD EL SCH
301,7097,4,BLAIR,CHARLES W LONGER EL
1685,5308,4,BUCKS,ROLLING HILLS EL SCH
1764,7962,4,YORK,SHALLOW BROOK INTERM SCHOOL
413,1689,4,CUMBERLAND,CRESTVIEW EL SCH
1515,1116,4,BUCKS,PENNWOOD MS
1360,2407,4,LACKAWANNA,NEWTON-RANSOM SCH
1362,6453,4,BUCKS,NEWTOWN MIDDLE SCHOOL
1363,1676,4,CUMBERLAND,NEWVILLE EL SCH
488,161,4,ALLEGHENY,DR CLEVELAND STEWARD JR EL SCH
486,7517,4,CHESTER,DOWNINGTOWN MS
1370,1489,4,CLARION,NORTH CLARION CO JSH
483,8229,4,YORK,DOVER AREA EL SCH
1374,7360,4,ERIE,NORTH EAST MS
1376,6106,4,ALLEGHENY,NORTH HILLS JHS
1377,8099,4,LACKAWANNA,NORTH POCONO INTMD SCH
1378,5233,4,LACKAWANNA,NORTH POCONO MS
1379,7555,4,YORK,NORTH SALEM EL SCH
481,7461,4,ALLEGHENY,DORMONT EL SCH
1383,4837,4,SOMERSET,NORTH STAR CENTRAL E
1385,7764,4,WASHINGTON,NORTH STRABANE INTERM SCHOOL
1388,7430,4,NORTHAMPTON,NORTHAMPTON BOROUGH ELEM SCH
1389,5209,4,BRADFORD,NORTHEAST BRADFORD E
474,3036,4,LYCOMING,DONALD E SCHICK ELEM SCHOOL
1394,7167,4,BEDFORD,NORTHERN BEDFORD CO ELM
473,5095,4,TIOGA,DON GILL EL SCH
1398,4581,4,YORK,NORTHERN EL SCH
471,7955,4,LANCASTER,DOE RUN ELEM SCHOOL
466,7408,4,PIKE,DINGMAN-DELAWARE MS
1406,8162,4,LEBANON,NORTHSIDE EL SCH
465,3864,4,PIKE,DINGMAN-DELAWARE EL SCH
1351,6267,4,ADAMS,NEW OXFORD EL SCH
1349,7561,4,BUCKS,NEW HOPE-SOLEBURY MS
1348,4707,4,LANCASTER,NEW HOLLAND EL SCH
1347,755,4,BERKS,NEW HANOVER-UPPER FR
1305,2238,4,FRANKLIN,MOWREY EL SCH
1309,142,4,ALLEGHENY,MT VERNON EL SCH
1310,7375,4,YORK,MT WOLF EARLY LC
514,6160,4,FOREST,EAST FOREST EL SCH
1316,7212,4,MONTGOMERY,MURRAY AVENUE SCH
512,3135,4,MERCER,EAST EL SCH
1319,3252,4,MONTGOMERY,MYERS EL SCH
1320,204,4,ALLEGHENY,MYRTLE AVE SCH
1321,4589,4,YORK,N HOPEWELL-WINTERSTO
1324,8053,4,NORTHAMPTON,NAZARETH AREA INTERMEDIATE SCH
1325,3494,4,NORTHAMPTON,NAZARETH AREA MS
510,7304,4,CHESTER,EAST COVENTRY EL SCH
464,6024,4,ALLEGHENY,DILWORTH TRADITIONAL
506,3303,4,MONTGOMERY,EAGLEVILLE EL SCH
1330,7327,4,ALLEGHENY,NEIL ARMSTRONG MS
1332,6349,4,COLUMBIA,NESCOPECK EL SCH
1333,2689,4,LAWRENCE,NESHANNOCK JSHS
1334,2688,4,LAWRENCE,NESHANNOCK MEMORIAL
505,6714,4,CUMBERLAND,EAGLE VIEW MS
1336,4920,4,PERRY,NEW BLOOMFIELD EL SCH
1337,6720,4,BEAVER,NEW BRIGHTON AREA EL
504,7481,4,SOMERSET,EAGLE VIEW EL SCH
503,1452,4,CHESTER,E N PEIRCE MS
502,3357,4,MONTGOMERY,E M CROUTHAMEL EL SCH
1343,526,4,ALLEGHENY,NEW EMERSON EL SCH
1346,1400,4,CHESTER,NEW GARDEN EL SCH
1329,1122,4,BUCKS,NEIDIG EL SCH
1516,3267,4,MONTGOMERY,PENNYPACK EL SCH
1412,1142,4,BUTLER,NORTHWEST SCH
1414,6449,4,LEHIGH,NORTHWESTERN LEHIGH EL SCH
1470,6233,4,CENTRE,PARK FOREST EL SCH
1471,6234,4,CENTRE,PARK FOREST MS
1474,1912,4,DELAWARE,PARKSIDE EL SCH
1475,8081,4,JEFFERSON,PARKVIEW EL SCH
1478,5253,4,MONTGOMERY,PAUL V FLY EL SCH
1479,1901,4,DELAWARE,PAXON HOLLOW MS
1481,1778,4,DAUPHIN,PAXTONIA EL SCH
1482,5194,4,ALLEGHENY,PAYNTER EL SCH
432,6424,4,WAYNE,DAMASCUS AREA SCH
430,6598,4,YORK,DALLASTOWN AREA MS
429,8132,4,YORK,DALLASTOWN AREA INTERMEDIATE S
428,5150,4,LUZERNE,DALLAS MS
1488,6322,4,BERKS,PENN BERNVILLE EL
1489,7139,4,CAMBRIA,PENN CAMBRIA INTER
1492,4492,4,WESTMORELAND,PENN MS
1494,1101,4,BUCKS,PENN VALLEY EL SCH
422,6238,4,CLEARFIELD,CURWENSVILLE AREA EL
420,794,4,BERKS,CUMRU EL SCH
1501,6613,4,CLEARFIELD,PENN-GRAMPIAN EL
1506,5223,4,DELAWARE,PENNELL EL SCH
415,3268,4,MONTGOMERY,CROOKED BILLET EL SCH
1508,3323,4,MONTGOMERY,PENNFIELD MS
1509,7957,4,BUCKS,PENNRIDGE NORTH MS
1512,6847,4,CENTRE,PENNS VALLEY AREA ELEM/ INTRMD
414,7655,4,LUZERNE,CRESTWOOD MS
1468,4620,4,YORK,PARADISE EL SCH
438,6605,4,BUTLER,DASSA MCKINNEY EL SCH
439,8177,4,ALLEGHENY,DAVID E WILLIAMS MS
1463,2765,4,LEBANON,PALMYRA AREA MS
1415,7353,4,LEHIGH,NORTHWESTERN LEHIGH MS
1416,6146,4,ERIE,NORTHWESTERN MS
1418,4455,4,WESTMORELAND,NORVELT EL SCH
1419,4482,4,WESTMORELAND,NORWIN MS
463,4579,4,YORK,DILLSBURG EL SCH
1423,1774,4,DAUPHIN,NYE EL SCH
1424,7355,4,CUMBERLAND,OAK FLAT EL SCH
1425,3280,4,MONTGOMERY,OAK PARK EL SCH
1427,3567,4,NORTHUMBERLAND,OAKLYN SCH
458,1017,4,BUCKS,DEVINE EL SCH
1430,5105,4,ALLEGHENY,OBLOCK JHS
1431,1413,4,CHESTER,OCTORARA AREA EL
1413,5144,4,ERIE,NORTHWESTERN EL SCH
1436,1532,4,CLEARFIELD,OKLAHOMA EL SCH
455,2506,4,LANCASTER,DENVER EL SCH
1445,7604,4,LEHIGH,OREFIELD MIDDLE SCHOOL
1446,5272,4,YORK,ORENDORF EL SCH
451,7162,4,PIKE,DELAWARE VALLEY EL SCH
450,8069,4,MERCER,DELAHUNTY MS
1449,3876,4,POTTER,OSWAYO VALLEY EL SCH
1453,3232,4,MONTGOMERY,OVERLOOK SCH
1454,783,4,BERKS,OWATIN CREEK EL SCH
1455,5010,4,CHESTER,OWEN J ROBERTS MS
444,569,4,ARMSTRONG,DAYTON EL SCH
441,8222,4,BUCKS,DAVIS EL SCH
1460,7312,4,BUCKS,PALISADES MS
1439,7378,4,BERKS,OLEY VALLEY EL SCH
1118,1107,4,BUCKS,MANOR EL SCH
