,ZipCode,Lat,Long
594,16261.0,40.95,-79.44
595,16262.0,40.83,-79.63
596,16263.0,40.81,-79.33
597,16301.0,41.42,-79.7
598,16311.0,41.47,-80.03
599,16312.0,41.95,-79.3
600,16313.0,41.78,-79.09
601,16314.0,41.51,-80.04
602,16316.0,41.6,-80.3
603,16317.0,41.49,-79.87
604,16319.0,41.35,-79.72
605,16321.0,41.56,-79.37
606,16322.0,41.58,-79.35
607,16323.0,41.39,-79.83
608,16326.0,41.35,-79.45
609,16327.0,41.63,-79.95
610,16328.0,41.65,-79.72
611,16329.0,41.84,-79.18
612,16331.0,41.28,-79.59
613,16332.0,41.37,-79.37
614,16333.0,41.73,-78.95
615,16334.0,41.32,-79.44
616,16335.0,41.64,-80.14
617,16340.0,41.81,-79.43
618,16341.0,41.59,-79.57
619,16342.0,41.36,-79.93
620,16343.0,41.42,-79.74
621,16344.0,41.47,-79.68
622,16345.0,41.92,-79.14
623,16346.0,41.37,-79.7
624,16347.0,41.69,-79.02
625,16350.0,41.98,-79.34
626,16351.0,41.68,-79.4
627,16352.0,41.75,-79.05
628,16353.0,41.49,-79.44
629,16354.0,41.62,-79.67
630,16360.0,41.67,-79.88
631,16361.0,41.39,-79.32
632,16362.0,41.43,-79.95
633,16364.0,41.37,-79.5
634,16365.0,41.84,-79.14
635,16370.0,41.58,-79.46
636,16371.0,41.85,-79.31
637,16372.0,41.2,-79.87
638,16373.0,41.18,-79.7
639,16374.0,41.27,-79.85
640,16375.0,41.22,-79.64
641,16401.0,41.88,-80.36
642,16402.0,41.99,-79.5
643,16403.0,41.8,-80.06
644,16404.0,41.73,-79.76
645,16405.0,41.95,-79.58
646,16406.0,41.75,-80.36
647,16407.0,41.92,-79.63
648,16410.0,41.9,-80.34
649,16411.0,41.98,-80.44
650,16412.0,41.87,-80.12
651,16413.0,41.91,-79.74
652,16415.0,42.03,-80.25
653,16416.0,41.8,-79.43
654,16417.0,42.0,-80.31
655,16420.0,41.72,-79.54
656,16421.0,42.17,-79.93
657,16422.0,41.66,-80.28
658,16423.0,42.01,-80.34
659,16424.0,41.65,-80.42
660,16426.0,41.99,-80.13
661,16427.0,41.87,-79.97
662,16428.0,42.21,-79.83
663,16430.0,41.95,-80.47
664,16432.0,41.78,-79.8
665,16433.0,41.71,-80.13
666,16434.0,41.82,-79.68
667,16435.0,41.8,-80.37
668,16436.0,41.88,-79.51
669,16438.0,41.89,-79.84
670,16440.0,41.77,-80.11
671,16441.0,41.94,-79.98
672,16442.0,42.0,-79.8
673,16443.0,41.94,-80.47
674,16501.0,42.12,-80.08
675,16601.0,40.5,-78.4
676,16611.0,40.55,-78.1
677,16613.0,40.55,-78.54
678,16616.0,40.76,-78.5
679,16617.0,40.6,-78.33
680,16619.0,40.69,-78.44
681,16620.0,40.83,-78.35
682,16621.0,40.2,-78.14
683,16622.0,40.3,-78.03
684,16623.0,40.29,-78.02
685,16624.0,40.57,-78.61
686,16625.0,40.29,-78.44
687,16627.0,40.74,-78.53
688,16629.0,40.53,-78.51
689,16630.0,40.46,-78.58
690,16631.0,40.29,-78.3
